Image_Name,Class,xmin,ymin,xmax,ymax,img_width,img_height
frame_100_18.jpg,Person,295,111,416,232,480,360
frame_100_18.jpg,Person,203,184,340,323,480,360
frame_100_18.jpg,Person,205,186,282,318,480,360
frame_100_19.jpg,Person,293,103,421,230,480,360
frame_100_19.jpg,Person,203,181,338,323,480,360
frame_100_2.jpg,Person,300,111,406,214,480,360
frame_100_2.jpg,Person,204,179,342,325,480,360
frame_100_20.jpg,Person,293,104,420,230,480,360
frame_100_20.jpg,Person,261,190,340,322,480,360
frame_100_20.jpg,Person,203,186,338,324,480,360
frame_100_21.jpg,Person,199,182,339,324,480,360
frame_100_21.jpg,Person,303,94,423,216,480,360
frame_100_22.jpg,Person,200,180,338,323,480,360
frame_100_22.jpg,Person,310,93,420,216,480,360
frame_100_23.jpg,Person,198,178,327,324,480,360
frame_100_23.jpg,Person,313,97,431,218,480,360
frame_100_24.jpg,Person,191,186,317,324,480,360
frame_100_24.jpg,Person,317,85,434,214,480,360
frame_100_25.jpg,Person,153,182,282,322,480,360
frame_100_25.jpg,Person,320,101,426,215,480,360
frame_100_26.jpg,Person,153,182,283,322,480,360
frame_100_26.jpg,Person,320,100,426,214,480,360
frame_100_27.jpg,Person,137,197,237,320,480,360
frame_100_28.jpg,Person,177,183,264,321,480,360
frame_100_28.jpg,Person,118,207,217,320,480,360
frame_100_29.jpg,Person,117,206,210,319,480,360
frame_100_29.jpg,Person,307,120,404,213,480,360
frame_100_3.jpg,Person,201,178,343,323,480,360
frame_100_3.jpg,Person,300,112,406,216,480,360
frame_100_30.jpg,Person,117,205,221,321,480,360
frame_100_31.jpg,Person,299,111,410,214,480,360
frame_100_31.jpg,Person,121,188,196,289,480,360
frame_100_31.jpg,Person,111,189,235,322,480,360
frame_100_32.jpg,Person,300,114,411,213,480,360
frame_100_32.jpg,Person,108,186,238,321,480,360
frame_100_32.jpg,Person,173,182,237,296,480,360
frame_100_33.jpg,Person,302,112,407,214,480,360
frame_100_33.jpg,Person,174,181,237,293,480,360
frame_100_33.jpg,Person,126,182,192,287,480,360
frame_47_32.jpg,Person,38,18,173,265,626,360
frame_47_32.jpg,Person,189,3,270,81,626,360
frame_47_33.jpg,Person,39,19,129,267,626,360
frame_47_33.jpg,Person,189,4,270,80,626,360
frame_47_33.jpg,Person,231,71,383,280,626,360
frame_47_33.jpg,Person,39,18,175,267,626,360
frame_47_34.jpg,Person,253,70,391,281,626,360
frame_47_34.jpg,Person,188,4,270,80,626,360
frame_47_34.jpg,Person,39,18,179,292,626,360
frame_47_34.jpg,Person,39,19,129,290,626,360
frame_47_35.jpg,Person,189,4,271,80,626,360
frame_47_35.jpg,Person,40,18,178,296,626,360
frame_47_35.jpg,Person,40,18,129,295,626,360
frame_47_35.jpg,Person,268,71,392,281,626,360
frame_47_36.jpg,Person,41,19,179,299,626,360
frame_47_36.jpg,Person,187,4,270,79,626,360
frame_47_36.jpg,Person,280,72,434,281,626,360
frame_47_36.jpg,Person,41,19,133,298,626,360
frame_47_37.jpg,Person,43,21,179,300,626,360
frame_47_37.jpg,Person,187,3,272,79,626,360
frame_47_38.jpg,Person,45,21,181,302,626,360
frame_47_38.jpg,Person,188,4,269,80,626,360
frame_47_38.jpg,Person,288,74,419,278,626,360
frame_47_39.jpg,Person,44,22,183,304,626,360
frame_47_39.jpg,Person,187,3,268,80,626,360
frame_47_39.jpg,Person,295,74,436,280,626,360
frame_47_39.jpg,Person,23,3,48,46,626,360
frame_47_4.jpg,Person,196,182,448,353,626,360
frame_47_4.jpg,Person,21,4,113,251,626,360
frame_47_4.jpg,Person,97,54,216,237,626,360
frame_47_4.jpg,Person,173,3,271,112,626,360
frame_47_40.jpg,Person,44,22,184,304,626,360
frame_47_40.jpg,Person,186,3,270,80,626,360
frame_47_40.jpg,Person,23,3,48,46,626,360
frame_47_41.jpg,Person,44,23,183,308,626,360
